platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|上海市奉贤区柘林镇胡桥新街17号3幢1292室,上海市,上海市,奉贤区,1,30,202601,202606,3
1,ADDR|上海市奉贤区庄行镇南亭公路2847号3幢352室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|上海市奉贤区联合北路215号第5幢1232室,上海市,上海市,奉贤区,1,30,202601,202606,3
1,ADDR|北京市朝阳区阜通东大街6号院5号楼20层2307,北京市,北京市,朝阳区,1,6,202601,202606,3
1,ADDR|上海市闵行区普洱路128弄5153号,上海市,上海市,闵行区,1,18,202601,202606,3
1,ADDR|重庆市南岸区铜元局街道亚太路1号13幢117号,重庆市,重庆市,南岸区,1,66,202601,202606,3
1,ADDR|上海市奉贤区南桥镇环城南路13381号1227室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市浦东新区三林镇胡巷村金家宅100号5幢130室,上海市,上海市,浦东新区,1,6,202601,202606,3
1,ADDR|北京市朝阳区北辰西路69号3单元507室,北京市,北京市,朝阳区,1,6,202601,202606,3
1,ADDR|北京市石景山区石景山路乙18号院5号楼12层1308,北京市,北京市,石景山区,1,18,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄6号1372室,上海市,上海市,金山区,1,36,202601,202606,3
1,ADDR|北京市丰台区汽车博物馆东路6号3号楼1单元11层1101j82园区,北京市,北京市,丰台区,1,6,202601,202606,3
1,ADDR|上海市嘉定区汇源路55号8幢3层j710室,上海市,上海市,嘉定区,1,6,202601,202606,3
1,ADDR|上海市闵行区元江路5500号第1幢a548室,上海市,上海市,闵行区,1,36,202601,202606,3
1,ADDR|上海市奉贤区南桥镇环城南路13381号1406室,上海市,上海市,奉贤区,1,18,202601,202606,3
1,ADDR|上海市闵行区保乐路69弄2145号1008室,上海市,上海市,闵行区,1,24,202601,202606,3
1,ADDR|北京市东城区法华寺街136号红桥天雅珠宝市场4层4a06a,北京市,北京市,东城区,1,12,202601,202606,3
1,ADDR|上海市浦东新区川沙路520号3595室,上海市,上海市,浦东新区,1,12,202601,202606,3
1,ADDR|上海市中山北二路1121号4楼b08室1,上海市,上海市,,1,6,202601,202606,2
1,ADDR|上海市金山区廊下镇漕廊公路6825弄504号222室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|上海市松江区中山中路196弄52号1层,上海市,上海市,松江区,1,12,202601,202606,3
1,ADDR|北京市朝阳区北苑路170号4号楼3层大屯孵化器a1167号,北京市,北京市,朝阳区,1,24,202601,202606,3
1,ADDR|上海市普陀区祁连山南路2891弄105号2366室,上海市,上海市,普陀区,1,12,202601,202606,3
1,ADDR|重庆市九龙坡区锦虹三路5号1120号,重庆市,重庆市,九龙坡区,1,6,202601,202606,3
1,ADDR|上海市奉贤区南桥镇环城南路13381号1124室,上海市,上海市,奉贤区,1,24,202601,202606,3
1,ADDR|上海市奉贤区南桥镇光迎路125号2幢2282室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市杨浦区内江路315弄13号2楼65室,上海市,上海市,杨浦区,1,6,202601,202606,3
1,ADDR|重庆市巴南区界石镇武新村尹氏祠社一队花木世界a区5号61号,重庆市,重庆市,巴南区,1,6,202601,202606,3
1,ADDR|上海市奉贤区民乐路88号1幢3281室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|北京市丰台区富丰路2号8层801807号,北京市,北京市,丰台区,1,6,202601,202606,3
1,ADDR|上海市嘉定工业区叶城路925号b区4幢j2618室,上海市,上海市,,1,6,202601,202606,2
1,ADDR|上海市奉贤区光泰路1999号24幢1444室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市金山区石化卫清西路1391号第7幢b24室,上海市,上海市,金山区,1,24,202601,202606,3
1,ADDR|北京市丰台区万芳园二区3号楼2层201229号,北京市,北京市,丰台区,1,6,202601,202606,3
1,ADDR|上海市宝山区沪太路8885号b4400室,上海市,上海市,宝山区,1,12,202601,202606,3
1,ADDR|北京市丰台区汽车博物馆东路6号3号楼1单元11层1101n57园区,北京市,北京市,丰台区,1,30,202601,202606,3
1,ADDR|广东省东莞市塘厦镇凤凰岗麻园一横巷10号,广东省,东莞市,,0,12,202601,202606,4
1,ADDR|北京市丰台区南四环西路188号12区8号楼4层园区,北京市,北京市,丰台区,1,12,202601,202606,3
1,ADDR|上海市普陀区真南路2528号1幢2层2132室,上海市,上海市,普陀区,1,18,202601,202606,3
1,ADDR|上海市普陀区古浪路415弄11号楼1楼,上海市,上海市,普陀区,1,24,202601,202606,3
1,ADDR|天津市静海区子牙镇潘庄子幸福大街26号,天津市,天津市,静海区,1,6,202601,202606,3
1,ADDR|上海市普陀区西康路1018号1009a室,上海市,上海市,普陀区,1,24,202601,202606,3
1,ADDR|上海市浦东新区江东路1586号5幢459室,上海市,上海市,浦东新区,1,6,202601,202606,3
1,ADDR|中国重庆重庆市沙坪坝区重庆市沙坪坝区壮志路43号附2号33chinachongqingchongqingshapingbadistrictchongqingshapingbadistrictno43zhuangzhiroadno233,重庆市,重庆市,沙坪坝区,1,12,202601,202606,4
1,ADDR|上海市奉贤区新四平公路468弄1幢5楼715室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|北京市石景山区八大处高科技园区西井路3号3号楼5241房间,北京市,北京市,石景山区,1,6,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄5号3843室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|天津市武清开发区福源道北侧创业总部基地c05号楼101,天津市,天津市,,1,6,202601,202606,2
1,ADDR|上海市奉贤区环城西路2200号第一幢d029室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市金山区枫泾镇环东一路65弄2号3084室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|北京市海淀区知春路108号2号楼605室,北京市,北京市,海淀区,1,6,202601,202606,3
1,ADDR|上海市奉贤区青高路368号3幢0303室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市松江区石湖荡镇长塔路945弄18号2楼l33,上海市,上海市,松江区,1,18,202601,202606,3
1,ADDR|广东省东莞市虎门镇黄金洲天安大厦第八层8003号铺位,广东省,东莞市,,0,6,202601,202606,4
1,ADDR|上海市嘉定区宝安公路2999弄22号1209室,上海市,上海市,嘉定区,1,12,202601,202606,3
1,ADDR|上海市嘉定区翔江公路3333号6幢j316室,上海市,上海市,嘉定区,1,6,202601,202606,3
1,ADDR|天津市河东区春华街道新浦路2号111405,天津市,天津市,河东区,1,54,202601,202606,3
1,ADDR|上海市金山区亭林镇松隐育才路121弄22号1幢755室,上海市,上海市,金山区,1,36,202601,202606,3
1,ADDR|上海市嘉定区华亭镇浏翔公路6899号1幢j471室,上海市,上海市,嘉定区,1,24,202601,202606,3
